StationUniqueId,AreaName,Lat,Lon,Name
940GZZLUCWP,A-BOL,51.49434,-0.26804,Chiswick Park
940GZZLUCXY,A-WAT,51.64696,-0.44127,Croxley
940GZZLUDBN,A-CHI,51.64554,0.08385,Debden
940GZZLUDGE,A-RAI,51.54423,0.16601,Dagenham East
940GZZLUDGY,A-HEA,51.54176,0.14778,Dagenham Heathway
940GZZLUDOH,A-CHA,51.55151,-0.23917,Dollis Hill
940GZZLUEAE,A-FIE,51.57645,-0.39725,Eastcote
940GZZLUEAN,A-ERC,51.51659,-0.24749,East Acton
940GZZLUECM,A-UXB,51.51032,-0.28817,Ealing Common
940GZZLUECT,A-EAR,51.4922,-0.19319,Earl's Court
940GZZLUEFY,A-GRE,51.58704,-0.16428,East Finchley
940GZZLUEGW,A-STA,51.61366,-0.27582,Edgware
940GZZLUEHM,A-HSN,51.53929,0.05127,East Ham
940GZZLUEMB,A-VIC,51.50697,-0.12191,Embankment
940GZZLUEPG,A-STA,51.69373,0.11368,Epping
940GZZLUEPK,A-BRO,51.54992,0.19922,Elm Park
940GZZLUEPY,A-UPP,51.45916,-0.21074,East Putney
940GZZLUERB,A-EDG,51.52021,-0.17027,Edgware Road
940GZZLUERC,A-CHA,51.51967,-0.16803,Edgware Road
940GZZLUESQ,BookH,51.5256,-0.13577,Euston Square
940GZZLUFBY,A-FUL,51.4801,-0.19541,Fulham Broadway
940GZZLUFLP,A-FOR,51.59557,0.09071,Fairlop
940GZZLUFYC,A-BAL,51.60109,-0.19235,Finchley Central
940GZZLUFYR,BCQ,51.54685,-0.17956,Finchley Road
940GZZLUGDG,A-TOT,51.52067,-0.1345,Goodge Street
940GZZLUGGH,A-MAN,51.61348,0.09185,Grange Hill
940GZZLUGGN,A-NOR,51.57203,-0.19441,Golders Green
940GZZLUGHK,A-WEL,51.50197,-0.22647,Goldhawk Road
940GZZLUGPK,A-P-N,51.50684,-0.14283,Green Park
940GZZLUGPS,A-GRE,51.52374,-0.1437,Great Portland Street
940GZZLUGTH,A-C-E,51.57659,0.06684,Gants Hill
940GZZLUGTR,A-GLO,51.49433,-0.18259,Gloucester Road
940GZZLUHBN,A-KIN,51.51736,-0.11999,Holborn
940GZZLUHBT,A-BAR,51.65047,-0.19442,High Barnet
940GZZLUHCH,A-STA,51.5541,0.21925,Hornchurch
940GZZLUHCL,A-WAT,51.58298,-0.22694,Hendon Central
940GZZLUHGD,A-LON,51.55372,-0.44813,Hillingdon
940GZZLUHGR,A-NW,51.53013,-0.29275,Hanger Lane
940GZZLUHGT,A-CAR,51.57759,-0.14598,Highgate
940GZZLUHLT,A-NEW,51.60392,0.09312,Hainault
940GZZLUHNX,A-HAT,51.46695,-0.42293,Hatton Cross
940GZZLUHPC,A-K-N,51.50307,-0.15277,Hyde Park Corner
940GZZLUHPK,A-HOL,51.50728,-0.20562,Holland Park
940GZZLUHSK,A-KEN,51.50103,-0.19292,High Street Kensington
940GZZLUHTD,A-HAM,51.55663,-0.17836,Hampstead
940GZZLUHWC,A-LAM,51.4712,-0.36701,Hounslow Central
940GZZLUHWE,A-K-E,51.47331,-0.3568,Hounslow East
940GZZLUHWT,A-BAT,51.47305,-0.38564,Hounslow West
940GZZLUHWY,A-HOL,51.5529,-0.11274,Holloway Road
940GZZLUICK,A-GLO,51.56202,-0.4419,Ickenham
940GZZLUKBN,A-SHO,51.54693,-0.20409,Kilburn
940GZZLUKBY,A-KIN,51.58498,-0.2787,Kingsbury
940GZZLUKNB,A-BRO,51.49991,-0.16261,Knightsbridge
940GZZLUKNG,A-KEN,51.48834,-0.1058,Kennington
940GZZLUKPK,A-CAM,51.53505,-0.19358,Kilburn Park
940GZZLULAD,A-LAD,51.51742,-0.21007,Ladbroke Grove
940GZZLULBN,A-WES,51.49885,-0.11221,Lambeth North
940GZZLULGN,A-STA,51.64175,0.0551,Loughton
940GZZLULGT,A-BAY,51.51168,-0.17542,Lancaster Gate
940GZZLULRD,A-BRA,51.5137,-0.21763,Latimer Road
940GZZLULSQ,A-CHA,51.51173,-0.12822,Leicester Square
940GZZLULYN,A-LEY,51.55649,-0.00582,Leyton
940GZZLULYS,A-FAI,51.56836,0.00719,Leytonstone
940GZZLUMBA,A-O-N,51.5135,-0.15845,Marble Arch
940GZZLUMDN,A-LON,51.40203,-0.19469,Morden
940GZZLUMED,A-MIL,51.52525,-0.0334,Mile End
940GZZLUMHL,A-BIT,51.60827,-0.20977,Mill Hill East
940GZZLUMMT,A-FIS,51.51051,-0.08596,Monument
940GZZLUMPK,A-SOU,51.62967,-0.43273,Moor Park
940GZZLUMRH,A-S-N,51.57094,-0.09566,Manor House
940GZZLUMSH,A-GAR,51.51216,-0.09389,Mansion House
940GZZLUMTC,A-HAM,51.53413,-0.13913,Mornington Crescent
940GZZLUMVL,A-RAN,51.52981,-0.18587,Maida Vale
940GZZLUNAN,A-VIC,51.52346,-0.25976,North Acton
940GZZLUNBP,A-EAS,51.57556,0.09065,Newbury Park
940GZZLUNDN,A-NEA,51.55402,-0.24976,Neasden
940GZZLUNEN,A-STA,51.51755,-0.28915,North Ealing
940GZZLUNFD,A-NOR,51.49927,-0.31455,Northfields
940GZZLUNGW,BEntr,51.50007,0.00313,North Greenwich
